,Country,M49_Code,Total_FDI_Inflows_2016,Total_FDI_Inflows_2017,Total_FDI_Inflows_2018,Total_FDI_Inflows_2019,Total_FDI_Inflows_2020,Total_FDI_Outflows_2016,Total_FDI_Outflows_2017,Total_FDI_Outflows_2018,Total_FDI_Outflows_2019,Total_FDI_Outflows_2020,Net_FDI_2016,Net_FDI_2017,Net_FDI_2018,Net_FDI_2019,Net_FDI_2020
72,Gambia,270,-27.7,18.444836,51.94,43.93,45.72,-1.4,2.361578,0.480789,0.480789,1.107719,-26.3,16.083257999999997,51.459210999999996,43.449211,44.612280999999996
73,Georgia,268,1652.577348,1978.281581,1306.290006,1310.773789,616.865566,407.172888,269.427512,340.190787,281.53472,22.860725,1245.40446,1708.854069,966.099219,1029.2390690000002,594.0048409999999
74,Germany,276,15633.147373,48641.41842,62072.967694,54062.912247,35651.049793,63660.958358,86517.526915,86243.959413,139278.168226,34949.872417,-48027.810985000004,-37876.10849499999,-24170.991719000005,-85215.25597900001,701.1773759999996
75,Ghana,288,3485.3,3255.0,2989.0,3879.0,1877.0,14.7,15.9,81.0,588.0,542.0,3470.6000000000004,3239.1,2908.0,3291.0,1335.0
76,Greece,300,2765.153451,3484.859714,3973.265169,5019.347114,3572.02383,-1667.034554,168.384441,476.872241,641.593748,702.774599,4432.188005,3316.475273,3496.3929279999998,4377.753366,2869.2492310000002
77,Grenada,308,94.898148,111.670741,126.990741,131.044444,146.104042,5.27,8.575556,15.352593,9.732716,0.16535,89.62814800000001,103.095185,111.638148,121.311728,145.938692
78,Guatemala,320,1174.37206,1130.01766,980.65193,974.7093,915.17363,209.3761,195.95124,202.78968,175.26971,210.68,964.99596,934.06642,777.86225,799.43959,704.4936299999999
79,Guinea,324,1618.44726,577.59,352.76,44.4,324.916667,21.103629,1.11,-0.33,1.02,0.6,1597.343631,576.48,353.09,43.379999999999995,324.316667
80,Guinea-Bissau,624,23.998591,15.691198,20.563818,71.65868,20.41038,0.450384,0.334104,-0.40526,0.38982,0.430742,23.548207,15.357094,20.969078,71.26886,19.979638
81,Guyana,328,57.999078,212.151382,1231.06,1695.293219,1833.891321,26.0,0.01,0.01,16.93518,13.560334,31.999077999999997,212.14138200000002,1231.05,1678.358039,1820.330987
82,Haiti,332,104.9,374.86,105.0,75.0,30.0,,,,,,,,,,
83,Honduras,340,1139.4,1175.8,961.3,498.1,418.6,239.3,140.8,66.1,-1.4,46.7,900.1000000000001,1035.0,895.1999999999999,499.5,371.90000000000003
84,Hungary,348,-5438.548392,3514.894612,6410.258176,3884.07177,4168.697792,-8272.106348,1219.996937,3022.32561,2848.237961,4282.130105,2833.5579559999996,2294.897675,3387.9325660000004,1035.8338090000002,-113.43231300000025
85,Iceland,352,-427.243918,-41.398519,-381.467524,-301.50047,-810.963016,-1147.340631,-208.237454,75.964789,464.851966,-276.048792,720.096713,166.83893500000002,-457.432313,-766.352436,-534.9142240000001
86,India,356,44480.571754,39903.840402,42156.193365,50558.331002,64061.907725,5072.359559,11140.548162,11446.917623,13144.135206,11559.955943,39408.212195,28763.292240000002,30709.275741999998,37414.195796,52501.951782
87,Indonesia,360,3921.23,20579.23,20563.47,23883.25,18581.08,-12214.69,2077.19,8052.85,3352.18,4467.45,16135.92,18502.04,12510.62,20531.07,14113.630000000001
88,Iran (Islamic Republic of),364,3372.0,5019.0,2373.0,1508.0,1342.0,104.112333,75.748444,74.601111,84.82063,78.390062,3267.887667,4943.251556,2298.398889,1423.17937,1263.609938
89,Iraq,368,-6255.9,-5032.4,-4885.1,-3075.6,-2895.5,304.3,77.8,188.4,194.2,148.5,-6560.2,-5110.2,-5073.5,-3269.7999999999997,-3044.0
90,Ireland,372,39413.561798,52834.920527,-16096.42265,81103.712626,33424.099892,30085.674437,-2048.10158,9620.063016,-16633.157053,-49474.246893,9327.887361000001,54883.022107000004,-25716.485666,97736.869679,82898.346785
91,Israel,376,11988.255,16892.825,21514.605,19047.249,24758.4,14578.51,7624.335,6086.597,8597.811,5859.53,-2590.255000000001,9268.490000000002,15428.008,10449.438,18898.870000000003
92,Italy,380,28468.517412,24047.082613,37682.197805,18145.567551,-388.346853,16180.735428,24530.902272,32817.836442,19786.717655,10357.439012,12287.781984000001,-483.8196590000007,4864.361363000004,-1641.1501040000003,-10745.785865000002
93,Jamaica,388,915.776886,888.04,774.7,665.416,366.00921,270.085983,46.8,12.670743,445.991,3.520144,645.6909029999999,841.24,762.029257,219.42500000000007,362.489066
94,Japan,392,19358.836009,9355.587239,9255.891229,14552.38385,10253.735853,155936.747563,164587.851885,143094.225923,226647.912048,115702.819324,-136577.91155400002,-155232.264646,-133838.334694,-212095.52819799999,-105449.08347099999
95,Jordan,400,1552.957746,2029.71831,954.929577,729.71831,726.056338,3.239436,6.619718,-7.605634,43.380282,26.478873,1549.71831,2023.098592,962.535211,686.338028,699.577465
96,Kazakhstan,398,8511.489337,4669.3,3627.876155,2873.724811,3877.36728,-5234.893,913.2,-1094.810395,-2624.408313,-2028.001424,13746.382337000001,3756.1000000000004,4722.68655,5498.133124,5905.368704
97,Kenya,404,1138.612882,1403.567589,1139.438224,1098.375947,716.756224,11.217382,13.572722,11.249204,10.769302,-7.114138,1127.3954999999999,1389.9948669999999,1128.18902,1087.606645,723.870362
98,Kiribati,296,1.807,0.785,-1.144365,-0.55828,-0.305882,0.121,0.124,0.121311,0.122333,0.122548,1.686,0.661,-1.265676,-0.680613,-0.42843
99,Kuwait,414,418.746412,348.122169,204.016996,104.413282,-318.969904,4527.894125,9013.447038,3715.062939,-2495.455191,2427.138351,-4109.147712999999,-8665.324869,-3511.045943,2599.868473,-2746.108255
100,Kyrgyzstan,417,616.0,-107.0,144.0,404.0,-330.5,0.0078,-29.0,5.0,5.0,2.0,615.9922,-78.0,139.0,399.0,-332.5
101,Lao People's Democratic Republic,418,935.296173,1686.275786,1319.609797,557.17654,967.706086,15.184319,9.700838,1e-05,1e-05,,920.111854,1676.574948,1319.609787,557.1765300000001,
102,Latvia,428,254.588121,708.306504,967.202506,874.309844,872.638223,159.394302,133.301702,205.486247,-105.230634,268.416207,95.19381899999999,575.004802,761.716259,979.540478,604.222016
103,Lebanon,422,2568.485071,2522.409653,2658.003845,2054.579557,3067.045569,1004.742727,1317.433967,631.215121,302.536103,27.599773,1563.7423440000002,1204.9756860000002,2026.7887240000002,1752.043454,3039.445796
104,Lesotho,426,159.2,123.1,128.7,117.6,102.008164,,,,,,,,,,
105,Liberia,430,453.18,247.84,129.13,86.68,86.96,167.6633,54.17425,84.075748,101.971099,80.073699,285.5167,193.66575,45.05425199999999,-15.291098999999988,6.886300999999989
106,Lithuania,440,302.605654,1020.786028,976.638339,1169.470578,478.648918,43.158221,80.319924,704.227348,143.393531,-285.309295,259.44743300000005,940.466104,272.41099099999997,1026.077047,763.958213
107,Luxembourg,442,31899.891523,-6815.331955,-16756.576741,14791.620955,62144.634074,30170.906112,34764.632121,11622.963442,34471.988501,127086.507688,1728.9854109999978,-41579.964076000004,-28379.540183,-19680.367546,-64941.873614
108,Madagascar,450,450.626271,357.862206,352.551623,474.311425,359.141033,89.7,106.0,117.896274,101.61823,101.769518,360.926271,251.86220600000001,234.655349,372.693195,257.371515
109,Malawi,454,116.099192,90.199691,959.395634,822.488231,98.018286,42.199706,-3.399988,0.518998,-0.249996,7.011884,73.899486,93.599679,958.876636,822.738227,91.00640200000001
110,Malaysia,458,11335.968951,9398.805704,7618.337947,7812.777164,3482.70222,8011.213027,5638.472575,5114.464714,6230.501951,2826.996714,3324.755924000001,3760.3331290000006,2503.8732330000003,1582.275213,655.7055060000002
111,Maldives,462,456.639057,457.808314,575.658028,956.153656,348.344832,,,,,,,,,,
112,Mali,466,356.476589,563.20847,467.295391,720.638835,308.101915,97.015786,14.763455,0.289497,1.011758,25.735387,259.460803,548.445015,467.005894,719.627077,282.366528
113,Malta,470,4248.432623,3407.289796,4023.616747,3783.60091,3917.095266,-5297.932302,-7237.075948,-7442.294974,7109.464717,7287.520609,9546.364925,10644.365743999999,11465.911721,-3325.8638069999997,-3370.4253430000003
114,Marshall Islands,584,-3.055847,5.835497,9.752051,4.177234,6.588261,,,,,,,,,,
115,Mauritania,478,271.19784,587.243766,772.890477,886.916359,977.700486,1.035,9.664,3.637,4.778667,6.026555,270.16283999999996,577.5797660000001,769.2534770000001,882.137692,971.6739309999999
116,Mauritius,480,378.764432,479.99589,460.511368,471.422103,245.941042,28.29411,89.229037,98.413264,57.282169,26.070747,350.470322,390.76685299999997,362.09810400000003,414.139934,219.870295
117,Mexico,484,31068.617,34200.409,33729.6144,34096.9279,29079.433,193.337,3987.868,8364.591,10985.337,6528.125,30875.28,30212.541,25365.0234,23111.590900000003,22551.308
118,Mongolia,496,-4156.405,1494.35,2173.741,2443.343,1719.115941,14.472,48.614,37.046,126.974,25.967215,-4170.8769999999995,1445.7359999999999,2136.695,2316.3689999999997,1693.1487260000001
119,Montenegro,499,226.409643,558.565764,489.814821,417.069688,528.873208,-184.879679,11.426667,108.974101,75.479765,-5.158898,411.28932199999997,547.139097,380.84072,341.589923,534.032106
120,Montserrat,500,1.684444,1.607407,1.707037,5.507407,0.257121,,,,,,,,,,
