ISO3_Code,Country_Name,M49_Code,Life_Expectancy_2016,Life_Expectancy_2017,Life_Expectancy_2018,Life_Expectancy_2019,Life_Expectancy_2020,Life_Expectancy_Avg,Mean_Years_Of_Schooling_2016,Mean_Years_Of_Schooling_2017,Mean_Years_Of_Schooling_2018,Mean_Years_Of_Schooling_2019,Mean_Years_Of_Schooling_2020,Mean_Years_of_Schooling_Avg
PAN,Panama,591.0,77.6529,77.7954,77.8629,77.8103,76.657,77.5557,10.11919022,10.25965691,10.4001236,10.54059029,10.54059029,10.372030262000001
PER,Peru,604.0,75.789,75.879,76.0089,76.1559,73.6655,75.49966,9.314760208,9.535280228,9.755800247,9.885518863,9.885518863,9.6753756818
PHL,Philippines,608.0,71.3871,71.5156,71.689,71.8649,72.1191,71.71513999999999,8.621369839,8.446499825,8.707799911,8.969099998,8.969099998,8.7427739142
PLW,Palau,585.0,63.8521,64.0828,64.3886,64.8043,65.3491,64.49538,12.6872,12.5893,12.49143,12.49143,12.49143,12.550158
PNG,Papua New Guinea,598.0,64.8399,65.1028,65.1822,65.4738,65.7868,65.27709999999999,4.62,4.66,4.7,4.74,4.74,4.692
POL,Poland,616.0,77.8025,77.7205,77.6282,77.9272,76.9424,77.60416000000001,13.00481987,13.04480243,13.08478498,13.12476754,13.1647501,13.084784984
PRK,Democratic People's Republic of Korea,408.0,72.8045,72.9778,73.0309,73.1985,73.2741,73.05716,,,,,,
PRT,Portugal,620.0,81.2324,81.498,81.3947,81.7007,81.0545,81.37606000000001,9.112580299,9.218230247,9.144709587,9.327420235,9.575940132,9.275776099999998
PRY,Paraguay,600.0,73.5336,73.6436,73.5676,73.6207,73.1816,73.50942,8.351449966,8.468514919,8.585579872,8.810709953,8.861840248,8.6156189916
PSE,Palestine,275.0,74.5544,74.8329,74.793,75.2406,74.4035,74.76487999999999,9.156229973,9.275179863,9.524060249,9.731270313,9.938480377,9.525044155
QAT,Qatar,634.0,80.4335,80.7171,80.8982,80.9897,79.0987,80.42744,9.667340279,9.730019569,9.86211879,9.99601145,9.99601145,9.8503003076
ROU,Romania,642.0,75.2458,75.9519,76.1546,76.5079,75.3456,75.84116,11.08049011,11.14865017,11.21188498,11.27511978,11.27511978,11.198252964
RUS,Russian Federation,643.0,72.6609,73.3743,73.5306,73.9332,71.3423,72.96826000000001,12.56402159,12.72337438,12.72389289,12.77428805,12.77428805,12.711972992
RWA,Rwanda,646.0,65.7373,65.9409,66.2505,66.437,66.7741,66.22796000000001,4.195574999,4.265272498,4.334969997,4.425292358,4.425292358,4.329280442
SAU,Saudi Arabia,682.0,77.0643,77.1605,77.2115,77.3036,76.2392,76.99582000000001,10.08080983,10.22029972,10.58370972,10.94711971,11.31052971,10.628493738
SDN,Sudan,729.0,64.7801,65.4447,65.681,65.8755,65.6136,65.47898,3.67,3.72,3.77,3.82,3.82,3.7600000000000002
SEN,Senegal,686.0,67.4969,67.7503,68.0966,68.5258,68.0064,67.9752,2.818639934,2.830689907,2.883815558,2.937938258,2.937938258,2.881804383
